a1_s1_181002,a1_s2_181002,a1_s3_181002,a1_s4_181002,a1_s5_181002,a1_s6_181002,b1_s1_181003,b1_s2_181003,b1_s3_181003,b1_s4_181003,b1_s5_181003,b1_s6_181003,a2_s1_181025,a2_s2_181025,a2_s3_181025,a2_s4_181025,a2_s5_181025,a2_s6_181025,b2_s1_181025,b2_s2_181025,b2_s3_181025,b2_s4_181025,b2_s5_181025,b2_s6_181025
ev_1,mazf_1,chpb_1,rnla_1,rele_1,yoeb_1,ev_2,yafo_1,mqsr_1,higb_1,hica_1,yhav_1,ev3,mazf_2,chpb_2,rnla_2,rele_2,yoeb_2,ev4,yafo_2,mqsr_2,higb_2,hica_2,yhav_2
23363,46127,36127,26535,28832,33023,20288,21494,27869,26751,32616,31669,16269,34180,30766,,26309,33286,12957,13743,21527,15285,14914,16816
6824,24532,18091,8756,12184,13356,6342,11754,15120,14758,15721,15645,4635,15273,10902,,7067,12506,5156,7636,10754,7391,7728,11717
974,4412,2406,1046,1517,1640,892,2077,2434,2545,3111,2562,659,3216,1788,,1576,1617,395,1281,1714,1171,1637,1448
275,2547,3273,381,1891,2429,242,1177,1814,2132,1936,1490,236,1803,2448,,1945,2323,218,772,1208,938,966,945
622,1426,2534,887,1359,1623,551,1592,1732,2452,3114,1887,556,1035,1714,,1455,1869,232,718,1056,673,940,1251
520,850,1931,595,1214,1410,604,1632,1778,2187,3009,1969,369,688,1237,,1072,1458,304,883,1316,856,946,883
156,635,1346,249,595,890,146,833,940,1257,2143,1192,141,522,815,,616,986,112,493,720,595,649,460
367,476,934,636,592,756,379,1060,992,1323,2564,1314,397,419,552,,464,682,293,596,629,507,728,394
357,258,388,693,287,302,410,534,542,695,1180,797,449,213,278,,251,330,301,285,456,322,424,344
2406,482,496,4219,558,390,2063,1427,1398,1503,2287,1824,2553,534,356,,1181,416,1752,958,1849,704,720,829
3494,814,790,4567,1416,864,3747,4028,3846,3578,4555,6087,3017,797,528,,1476,776,1754,1313,1891,794,875,1812
737,357,538,804,764,496,880,1584,1978,1485,2042,3276,644,286,320,,607,407,292,470,1282,272,396,676
2218,132,573,631,446,494,2659,1830,1020,1238,2199,2140,1405,127,419,,438,298,1301,722,540,276,444,448
