a1_s1_181103,a1_s2_181103,a1_s3_181103,a1_s4_181103,a1_s5_181103,a1_s6_181103,b1_s1_181104,b1_s2_181104,b1_s3_181104,b1_s4_181104,b1_s5_181104,b1_s6_181104,a2_s1_181107,a2_s2_181107,a2_s3_181107,a2_s4_181107,a2_s5_181107,a2_s6_181107,b2_s1_181108,b2_s2_181108,b2_s3_181108,b2_s4_181108,b2_s5_181108,b2_s6_181108
ev_1,mazf_1,chpb_1,rnla_1,rele_1,yoeb_1,ev_2,yafo_1,mqsr_1,higb_1,hica_1,yhav_1,ev3,mazf_2,chpb_2,rnla_2,rele_2,yoeb_2,ev4,yafo_2,mqsr_2,higb_2,hica_2,yhav_2
32752,19879,21395,17560,16283,21064,38911,25981,27538,22907,30948,29282,41152,30648,22169,,24314,29412,41689,25922,25841,22103,34923,31585
10424,9919,9778,5717,7382,9037,11766,12809,12526,16207,16679,16621,15497,19504,14375,,11068,13488,11520,15036,17928,10451,17275,18465
1295,1349,1049,742,773,1040,2038,2478,1814,2754,2803,3027,2589,2168,2099,,1677,1815,2275,3810,2524,1386,2407,2796
356,288,258,194,197,213,554,813,707,679,819,985,843,789,585,,617,682,628,869,688,372,781,897
424,750,478,302,283,391,861,735,954,913,1064,852,1081,1632,993,,1218,1476,1226,961,1430,1176,1318,882
491,528,495,246,290,470,757,868,1080,579,761,928,858,1147,1032,,844,1198,1017,1126,1376,723,1536,1040
147,219,260,120,124,193,279,561,579,514,832,540,264,480,549,,475,691,294,715,599,433,873,603
341,384,406,296,179,283,676,851,634,903,1197,830,723,1146,761,,697,916,724,702,702,820,1376,760
426,569,345,264,232,267,756,848,721,942,954,869,832,1507,825,,843,803,894,968,904,961,1266,935
2170,3369,2227,1433,1020,1483,4552,5114,4500,7033,5452,4860,6006,8415,6392,,5380,6228,5324,6073,6894,6097,7167,5072
3674,8760,6672,1815,2917,5570,7699,10229,11629,9576,11148,11035,8822,18747,13883,,10540,11789,9264,12060,14119,8385,13738,13902
938,4899,5248,392,1421,2080,1810,4912,4764,4823,3783,5112,1743,4019,5458,,2951,3609,1681,4782,5040,2252,4574,6080
4351,737,1009,908,766,843,4596,5152,2186,3210,3616,3671,4628,694,2112,,1562,1789,4107,6081,2859,2424,3539,3940
